Month,local_vwc_mean,local_z_score,site,smap_soil_moisture_mean,smap_z_score
2017-11-01,0.5978717592592593,-0.7094420259336501,Chirimachaya,0.2093448768680294,-1.2603502417090278
2017-12-01,0.6481753108547104,-0.03980217951401694,Chirimachaya,0.2109749058201428,-1.2264879774628725
2018-01-01,0.6923269489247312,0.5479435203156073,Chirimachaya,0.2690733319689189,-0.0195497473260008
2018-02-01,0.6187594246031747,-0.43138585356929054,Chirimachaya,0.28797448373266626,0.3731032756469149
2018-03-01,0.6547460797491039,0.04766776115113686,Chirimachaya,0.309830367925667,0.8271379876789965
2018-04-01,0.6943424768518518,0.5747741867151851,Chirimachaya,0.3118067880471547,0.8681961911719248
2018-05-01,0.7254218189964158,0.9885017514780491,Chirimachaya,0.30675637529742333,0.7632787841149368
2018-06-01,0.6780320601851852,0.35765025479991863,Chirimachaya,0.283853954449296,0.2875032921333716
2018-07-01,0.6827898745519714,0.4209861820022416,Chirimachaya,0.2549500369256542,-0.3129474493492568
2018-08-01,0.687444556451613,0.48294921191860435,Chirimachaya,0.2372717401914058,-0.6801968498343971
2018-09-01,0.6654784722222222,0.1905371494840288,Chirimachaya,0.21239553472648062,-1.1969757952652698
2018-10-01,0.643739023297491,-0.09885794842633257,Chirimachaya,0.20409674936484903,-1.369374980244989
2018-11-01,0.6341184027777779,-0.22692745133325753,Chirimachaya,0.21760326189299423,-1.088790334383899
2018-12-01,0.6597604166666667,0.11441851128458673,Chirimachaya,0.23030460625886914,-0.8249322730647811
2019-01-01,0.666075940860215,0.19849063973067446,Chirimachaya,0.25091150667398204,-0.39684398282549277
2019-02-01,0.7051434771825397,0.7185568814399506,Chirimachaya,0.28732593211212326,0.35963024725461207
2019-03-01,0.6960264336917562,0.5971909856068334,Chirimachaya,0.3136344948603261,0.9061650204935534
2019-04-01,0.6776517361111111,0.35258738853153065,Chirimachaya,0.31692089773714543,0.974436840138166
2019-05-01,0.6881932123655914,0.4929153040802362,Chirimachaya,0.30217521709780537,0.6681096834018635
2019-06-01,0.6924576732673268,0.5496837200812814,Chirimachaya,0.29816225692629816,0.584744343442294
2019-07-01,0.6853885528673835,0.455579734402307,Chirimachaya,0.26395075191413203,-0.1259663598728996
2019-08-01,0.6761035142896212,0.33197749141922156,Chirimachaya,0.24055280674609442,-0.6120358870858288
2019-09-01,0.6393712962962963,-0.1570010406239696,Chirimachaya,0.21618136552472905,-1.1183288468688566
2019-10-01,0.694634520609319,0.5786618672207462,Chirimachaya,0.2164576429753534,-1.1125894518561694
2019-11-01,0.6643496605237634,0.17551043132162794,Chirimachaya,0.21805529768268264,-1.0793997310211165
2019-12-01,0.6788441631189783,0.3684609523871504,Chirimachaya,0.23654546126002263,-0.6952845874227545
2020-01-01,0.6946672014668807,0.5790969141258728,Chirimachaya,0.24004350734814517,-0.6226160861500265
2020-02-01,,,Chirimachaya,0.2775026475047243,0.15556107491895796
2020-03-01,0.6684864206552186,0.23057889728960512,Chirimachaya,0.3100109081114492,0.8308885342383575
2020-04-01,0.7194193287037037,0.9085967238952548,Chirimachaya,0.3152875039726496,0.9405046751912376
2020-05-01,0.7138009632616487,0.8338051584407123,Chirimachaya,0.30585494301011484,0.7445524061120921
2020-06-01,0.690933912037037,0.5293994418570042,Chirimachaya,0.28939563818275926,0.4026263755042854
2020-07-01,0.69643604390681,0.6026437083828798,Chirimachaya,0.26437635749818816,-0.1171248182958237
2020-08-01,0.6635771729390681,0.16522709244852937,Chirimachaya,0.23658695474507344,-0.6944226006749347
2020-09-01,0.6741503472222223,0.3059769715043781,Chirimachaya,0.2194700696195165,-1.0500092216617583
2020-10-01,0.6649135304659498,0.18301665641927053,Chirimachaya,0.2070872822115498,-1.3072495723738633
2020-11-01,0.5510709490740741,-1.3324534505893173,Chirimachaya,0.1944293846065799,-1.570205069541284
2020-12-01,0.7073926971326164,0.7484984512528777,Chirimachaya,0.20764089688178028,-1.2957487666798373
2021-01-01,0.6751802195340502,0.31968661058255765,Chirimachaya,0.23958686907445229,-0.6321023016363517
2021-02-01,0.6710908978174603,0.26524964381965205,Chirimachaya,0.2680283480190805,-0.04125827133506297
2021-03-01,0.6932060931899642,0.559646670731025,Chirimachaya,0.31260938473766847,0.8848693558921154
2021-04-01,0.6933996527777778,0.5622233319914258,Chirimachaya,0.30271989293396473,0.6794247935222149
2021-05-01,0.7105142249103943,0.790052164965108,Chirimachaya,0.309309569217505,0.8163189016425357
2021-06-01,0.6866104166666667,0.47184516022110057,Chirimachaya,0.30528781016667683,0.7327707735329454
2021-07-01,0.6713551747311829,0.26876769267116546,Chirimachaya,0.2808329449786294,0.22474476207584224
2021-08-01,0.6789220430107527,0.3694976879080604,Chirimachaya,0.2444396983351438,-0.5312894991680557
2021-09-01,0.6965609953703704,0.6043070597013196,Chirimachaya,0.22441224573800958,-0.9473403252237712
