Month,monthly_bias_mean,site
2023-08-01,0.35675669662072856,Virgen
2023-09-01,0.33317292931278547,Virgen
2023-10-01,0.28142012612652273,Virgen
2023-11-01,0.2330436614072901,Virgen
2023-12-01,0.3013314599604927,Virgen
2024-01-01,0.32576732801931735,Virgen
2024-02-01,0.28751026736742236,Virgen
2024-03-01,0.28045212080946536,Virgen
2024-04-01,0.29010915507144397,Virgen
2024-05-01,0.2970535813416204,Virgen
2024-06-01,0.31541299702679665,Virgen
2024-07-01,0.30076944317126575,Virgen
2024-08-01,0.26075444262381314,Virgen
2024-09-01,0.17942164283830814,Virgen
2024-10-01,0.1997937004686644,Virgen
2025-01-01,0.20202953066394747,Virgen
2025-02-01,0.17607013002493319,Virgen
2025-03-01,0.18523223614828727,Virgen
2025-04-01,0.19674413352586606,Virgen
2025-05-01,0.19076141215278683,Virgen
2025-06-01,0.19347061346955358,Virgen
2025-07-01,0.22372976047715754,Virgen
2025-08-01,0.2043910375911489,Virgen
2025-09-01,0.2288629237502814,Virgen
2025-10-01,0.22600010170582416,Virgen
