Week,local_vwc_mean,local_z_score,site,smap_soil_moisture_mean,smap_z_score
2022-03-13,0.6852247023809523,0.4210720778204041,Chirimachaya,0.31253228868756977,0.8925737069388926
2022-03-20,0.7510659722222223,1.2412791117680335,Chirimachaya,0.32088189625314306,1.064853912823132
2022-03-27,0.7177549603174602,0.8263125362741719,Chirimachaya,0.32350070774555206,1.1188887138052137
2022-04-03,0.733358630952381,1.0206927546541948,Chirimachaya,0.32333862089685034,1.1155443224136232
2022-04-10,0.694857142857143,0.5410666564744935,Chirimachaya,0.3168547403599535,0.9817602774686671
2022-04-17,0.6841974206349207,0.4082748806221661,Chirimachaya,0.3136746532150677,0.9161444908885075
2022-04-24,0.7467440476190476,1.1874394308466116,Chirimachaya,0.32078281736799646,1.0628095855181918
2022-05-01,0.7194553571428571,0.8474949563589462,Chirimachaya,0.3175468434180532,0.996040668062611
2022-05-08,0.7014474206349206,0.6231639823923153,Chirimachaya,0.3093764287020479,0.8274578073259256
2022-05-15,0.7388849206349207,1.089535619929709,Chirimachaya,0.30237154928701265,0.6829238207476374
2022-05-22,0.7272132936507936,0.9441382031867909,Chirimachaya,0.31131252220698763,0.8674058629707724
2022-05-29,0.6822380952380953,0.38386689948597724,Chirimachaya,0.3054113084716456,0.7456441742557864
2022-06-05,0.6923928571428571,0.5103682133644708,Chirimachaya,0.30166883181248394,0.6684244193997912
2022-06-12,0.7166765873015872,0.8128788777956725,Chirimachaya,0.30485626576202257,0.7341917950226989
2022-06-19,0.6789265873015874,0.34261432174795337,Chirimachaya,0.29854416634355274,0.6039521665329131
2022-06-26,0.7006180555555557,0.6128323002506191,Chirimachaya,0.2941141900207315,0.5125470044382627
2022-07-03,0.7146279761904761,0.7873586342279615,Chirimachaya,0.2877401422177042,0.3810291745046436
2022-07-10,0.7554508928571428,1.2959035556272498,Chirimachaya,0.28287664907319204,0.28067911689141306
2022-07-17,0.6931875,0.5202673490050207,Chirimachaya,0.28189158758946825,0.2603540185090297
2022-07-24,0.6784568452380952,0.3367625855109977,Chirimachaya,0.2750770928604262,0.11974830192936418
2022-07-31,0.7208675595238095,0.8650872404841945,Chirimachaya,0.2783475422433444,0.18722856236055566
2022-08-07,0.7005188492063492,0.6115964531044815,Chirimachaya,0.27236821076699663,0.06385504453887363
2022-08-14,0.7164037698412699,0.8094802981437991,Chirimachaya,0.26738370795335087,-0.03899184547619043
2022-08-21,0.7148809523809524,0.7905100444506095,Chirimachaya,0.25848716763513424,-0.2225570951771878
2022-08-28,0.6967058531746032,0.5640966680427396,Chirimachaya,0.25008188640432694,-0.3959860341525959
2022-09-04,0.7207048611111111,0.8630604511645308,Chirimachaya,0.2428375243076256,-0.5454613458625296
2022-09-11,0.6982152777777778,0.5829000823712008,Chirimachaya,0.23375273974878444,-0.7329107010471227
2022-09-18,0.6663199404761906,0.1855690456527046,Chirimachaya,0.22631243749388624,-0.8864289106453749
2022-09-25,0.6484459325396825,-0.03709353466664394,Chirimachaya,0.22198048712951793,-0.9758114708187208
2022-10-02,0.6731656746031747,0.2708486779718278,Chirimachaya,0.2181617508509329,-1.054604715546154
2022-10-09,0.6783531746031746,0.335471125243285,Chirimachaya,0.21366226832781515,-1.1474440219887003
2022-10-16,0.6759131944444445,0.3050754646840683,Chirimachaya,0.2099186884505408,-1.2246865399077613
2022-10-23,0.7426344246031746,1.1362444628179234,Chirimachaya,0.21075379981526304,-1.207455411771413
2022-10-30,0.7155104166666667,0.7983514945928435,Chirimachaya,0.21228370123675888,-1.1758884513115417
2022-11-06,0.6452276785714286,-0.07718441608729955,Chirimachaya,0.20861571149102276,-1.2515712931234384
2022-11-13,0.6141398809523809,-0.46445565703624936,Chirimachaya,0.20559450265552312,-1.313908891161607
2022-11-20,0.5920079365079364,-0.7401607968677605,Chirimachaya,0.20407625553863387,-1.3452353845119414
2022-11-27,0.6484295634920636,-0.037297449445754874,Chirimachaya,0.20312661065586973,-1.3648297204893698
2022-12-04,0.599938988095238,-0.6413609967699062,Chirimachaya,0.2018898496670382,-1.3903482177495294
2022-12-11,0.524235119047619,-1.5844297747506582,Chirimachaya,0.198026316506522,-1.4700657713120144
2022-12-18,0.5082296626984127,-1.7838151740725299,Chirimachaya,0.20049964982484064,-1.4190326694621518
2022-12-25,0.5455882936507938,-1.318426035016315,Chirimachaya,0.19974220544099805,-1.4346612691741076
2023-01-01,0.5957549603174602,-0.6934828501581982,Chirimachaya,0.20243843990777216,-1.3790289744345006
2023-01-08,0.6689255952380952,0.2180285709459689,Chirimachaya,0.21487551262336116,-1.1224107524148872
2023-01-15,0.7181954365079365,0.8317996976030173,Chirimachaya,0.22370272156383306,-0.9402760398904332
2023-01-22,0.7084295634920634,0.7101429045373758,Chirimachaya,0.23930026005421362,-0.6184468854892573
2023-01-29,0.6715034722222222,0.25014205903831555,Chirimachaya,0.23604995118720187,-0.6855115800151378
2023-02-05,0.6854751984126984,0.42419259186439867,Chirimachaya,0.23263753311974658,-0.7559211271234672
2023-02-12,0.6705009920634921,0.2376538236266112,Chirimachaya,0.22746772239250793,-0.8625915364183346
2023-02-19,0.680700892857143,0.3647174479565984,Chirimachaya,0.23785243742167947,-0.6483202872339439
2023-02-26,0.6994851190476191,0.5987189258417438,Chirimachaya,0.2771520838141441,0.1625622744313049
2023-03-05,0.6712088293650794,0.24647159301429247,Chirimachaya,0.27556737672005377,0.12986449045858617
2023-03-12,0.7092888337468982,0.7208471255947241,Chirimachaya,0.29003912902304096,0.42846492726763824
2023-03-19,0.6768695436507937,0.3169890311728196,Chirimachaya,0.3118815560426031,0.8791469257195339
2023-03-26,0.6657738095238096,0.1787657071132248,Chirimachaya,0.3089119589754513,0.8178742503148169
2023-04-02,0.7294260912698413,0.9717037737813582,Chirimachaya,0.30977906925337656,0.8357656225777772
2023-04-09,0.7353353174603174,1.0453170090409567,Chirimachaya,0.32085322429026875,1.0642623147595944
2023-04-16,0.7167862103174603,0.8142444888921531,Chirimachaya,0.3241406375808375,1.13209259709058
2023-04-23,0.7171061507936508,0.818230095938443,Chirimachaya,0.3308834454842976,1.2712191757618525
2023-04-30,0.7386225198412698,1.0862668042281773,Chirimachaya,0.3357243596443108,1.3711033537433048
2023-05-07,0.689671626984127,0.4764689261459567,Chirimachaya,0.3205523778285299,1.0580548505212015
2023-05-14,0.7096009925558313,0.7247357937721891,Chirimachaya,0.309924771210977,0.8387719391089442
2023-05-21,0.6982405753968254,0.583215223393465,Chirimachaya,0.30097764677235056,0.6541629705732309
2023-05-28,0.7087733134920635,0.7144251148987386,Chirimachaya,0.3066746023084436,0.7717101325162943
2023-06-04,0.6828065476190476,0.3909483036333358,Chirimachaya,0.3045427357511861,0.7277226269338293
