Date,tdr_vwc_mean,tdr_vwc_std,tdr_samples,site,smap_soil_moisture_mean,smap_samples,has_tdr,has_smap,has_overlap,tdr_minus_smap
2023-06-02,0.6892326388888889,0.0005765849068943598,288.0,Chirimachaya,0.3027637414634228,8.0,True,True,True,0.3864688974254661
2023-06-03,0.6864618055555556,0.0010877523114108183,288.0,Chirimachaya,0.3025215081870556,8.0,True,True,True,0.3839402973685
2023-06-04,0.6826006944444445,0.0012757178222708098,288.0,Chirimachaya,0.30261441320180893,8.0,True,True,True,0.37998628124263556
2023-06-05,0.6803541666666667,0.001399197131658138,288.0,Chirimachaya,0.30252307280898094,8.0,True,True,True,0.37783109385768576
2023-06-06,0.6963784722222223,0.015749536415695847,288.0,Chirimachaya,0.30123650655150414,8.0,True,True,True,0.39514196567071813
2023-06-07,0.7100416666666667,0.002198748456172064,288.0,Chirimachaya,0.3018828444182873,8.0,True,True,True,0.4081588222483794
2023-06-08,0.7071041666666666,0.003354166892101331,288.0,Chirimachaya,0.30152676254510874,8.0,True,True,True,0.4055774041215579
2023-06-09,0.7039861111111111,0.002591828787068853,288.0,Chirimachaya,0.29997534677386284,8.0,True,True,True,0.40401076433724825
2023-06-10,0.7044930555555555,0.011902037144624634,288.0,Chirimachaya,0.29874891042709345,8.0,True,True,True,0.4057441451284621
2023-06-11,0.7049895833333333,0.007862708869502067,288.0,Chirimachaya,0.29942668601870537,8.0,True,True,True,0.4055628973146279
2023-06-12,0.6927430555555555,0.0021077144772146074,288.0,Chirimachaya,0.2986056245863437,8.0,True,True,True,0.3941374309692118
2023-06-13,0.6860034722222222,0.0020388188557966275,288.0,Chirimachaya,0.2966244556009769,8.0,True,True,True,0.38937901662124536
2023-06-14,0.6891666666666666,0.006624839752187382,288.0,Chirimachaya,0.2945563420653343,8.0,True,True,True,0.3946103246013323
2023-06-15,0.7049895833333333,0.011335087634088862,288.0,Chirimachaya,0.29381899163126945,8.0,True,True,True,0.4111705917020638
2023-06-16,0.7175243055555556,0.004075006620678546,288.0,Chirimachaya,0.2933614328503608,8.0,True,True,True,0.42416287270519476
