year_month,days,mean_tdr,mean_smap,mean_bias,mae,rmse,direction
2023-02,28,0.6724919420340737,0.24719087174162266,-0.42530107029245107,0.42530107029245107,0.4254162166929257,SMAP underestimates
2023-03,31,0.7004690048744051,0.29469170048832893,-0.4057773043860761,0.4057773043860761,0.4066819560459543,SMAP underestimates
2023-04,30,0.7090196665417727,0.3245773748805126,-0.3844422916612602,0.3844422916612602,0.38461846917250586,SMAP underestimates
2023-05,31,0.6973124053208942,0.3089459056575452,-0.388366499663349,0.388366499663349,0.3886141204750348,SMAP underestimates
2023-06,30,0.6999559623529136,0.2870577797293663,-0.4128981826235473,0.4128981826235473,0.4131677727332925,SMAP underestimates
2023-07,31,0.689749420584318,0.25948948250903237,-0.4302599380752857,0.4302599380752857,0.43034068022495575,SMAP underestimates
2023-08,25,0.6901675106344721,0.22615112543106075,-0.46401638520341143,0.46401638520341143,0.4645241241811122,SMAP underestimates
2023-09,30,0.6332462119222689,0.20304439043005304,-0.43020182149221586,0.43020182149221586,0.43032903045760906,SMAP underestimates
2023-10,31,0.6253686876907656,0.1871474513844136,-0.438221236306352,0.438221236306352,0.4383865317351894,SMAP underestimates
2023-11,30,0.615561633698092,0.1861734438066681,-0.4293881898914239,0.4293881898914239,0.42952199205397007,SMAP underestimates
2023-12,31,0.6644493136900947,0.19466179242778206,-0.46978752126231266,0.46978752126231266,0.4721975430764885,SMAP underestimates
2024-01,25,0.701073566919192,0.26350815810263156,-0.43756540881656036,0.43756540881656036,0.43776277912873024,SMAP underestimates
2024-02,8,0.6673167036536534,0.29358642641454935,-0.37373027723910396,0.37373027723910396,0.373864686126422,SMAP underestimates
2024-03,21,0.6810682434463684,0.28690017280834057,-0.39416807063802783,0.39416807063802783,0.394305076438509,SMAP underestimates
2024-08,16,0.6135006800455431,0.2024173159152269,-0.4110833641303162,0.4110833641303162,0.4111621613905544,SMAP underestimates
2024-09,30,0.5819808183136309,0.18621801938861607,-0.39576279892501476,0.39576279892501476,0.39583676033915227,SMAP underestimates
2024-10,31,0.6300603378634587,0.21821011416614053,-0.41185022369731816,0.41185022369731816,0.4125873563221797,SMAP underestimates
2024-11,29,0.5584860213129953,0.26849500847787694,-0.28999101283511836,0.28999101283511836,0.2912424317715625,SMAP underestimates
2024-12,31,0.5995777703454905,0.26575263733825377,-0.33382513300723676,0.33382513300723676,0.33700976569989116,SMAP underestimates
2025-01,31,0.6829190480069512,0.3535023014391622,-0.329416746567789,0.329416746567789,0.3328557843918923,SMAP underestimates
2025-02,28,0.6884961076668781,0.37242006111357895,-0.3160760465532992,0.3160760465532992,0.316399842795172,SMAP underestimates
2025-03,31,0.6849522795702425,0.37309078667913714,-0.3118614928911054,0.3118614928911054,0.31247368565221034,SMAP underestimates
2025-04,30,0.6816688162623051,0.3646897807717323,-0.31697903549057277,0.31697903549057277,0.3174029369369681,SMAP underestimates
2025-05,31,0.687619571638523,0.3679349613526175,-0.31968461028590556,0.31968461028590556,0.32025706296505724,SMAP underestimates
2025-06,30,0.6868499180106827,0.3507420140008132,-0.33610790400986956,0.33610790400986956,0.33636666783958324,SMAP underestimates
2025-07,31,0.6939639129087071,0.3295663496659648,-0.3643975632427423,0.3643975632427423,0.3648917659404176,SMAP underestimates
2025-08,16,0.6858751182087418,0.3199112960137427,-0.3659638221949991,0.3659638221949991,0.3663596779704945,SMAP underestimates
2025-09,20,0.6804304299709799,0.29561724066734313,-0.3848131893036368,0.3848131893036368,0.3849080838366175,SMAP underestimates
2025-10,31,0.679622145174867,0.30108456739357536,-0.37853757778129155,0.37853757778129155,0.378734187576443,SMAP underestimates
2025-11,19,0.6815330592105264,0.3126061562644808,-0.3689269029460456,0.3689269029460456,0.36943143392537414,SMAP underestimates
2025-12,15,0.6765628127377672,0.2741302599509557,-0.40243255278681145,0.40243255278681145,0.4024899781909317,SMAP underestimates
2026-01,31,0.7146861523390534,0.2991637008324746,-0.41552245150657885,0.41552245150657885,0.4165095956845279,SMAP underestimates
2026-02,26,0.7407149873406265,0.3837087814911054,-0.3570062058495212,0.3570062058495212,0.3574608544619457,SMAP underestimates
2026-03,13,0.7083945359039109,0.35683170046943885,-0.3515628354344721,0.3515628354344721,0.35160536883359855,SMAP underestimates
